[step],N-NODES,SEED,mean-firing-rate,synchrony-index,fano-factor,active-neuron-fraction,mean-weight
500,50,1,0.02176,1.0523306059660154,1.204850878227048,0.44,0.012712627875216376
500,50,2,0.04316,0.8304237185966512,1.488164466096227,1.0,0.038578834469826795
500,50,3,0.06764,0.6359128506123315,1.3676305893869347,1.0,0.05678441638335491
500,50,4,0.02332,1.2890088672290754,1.9373601405211844,0.34,0.036075541603963146
500,50,5,0.06668,0.7101459250672827,1.6813603211221484,1.0,0.06292761723803299
500,50,6,0.02212,1.1586114332751727,1.484672781367441,0.4,0.024641900357950736
500,50,7,0.05552,0.7089837913608212,1.3953786535607238,1.0,0.041847018185342276
500,50,8,0.06004,0.6366960204240186,1.2169562309161943,0.92,0.04198021270810725
500,50,9,0.03772,0.857295242062877,1.3861253790720376,0.78,0.043231161148838
500,50,10,0.0696,0.6342275409526363,1.3998111164858416,1.0,0.05512056878668709
500,50,11,0.05124,0.6886003445454021,1.214824653209615,1.0,0.03320978923474574
500,50,12,0.07628,0.6318236800474628,1.5225532344184927,1.0,0.07301632860733104
500,50,13,0.01636,1.274592845932687,1.328912102934479,0.4,0.013933530106388163
500,50,14,0.01084,1.332096366565845,0.961768555561316,0.26,0.007744677099204746
500,50,15,0.01232,1.3755470476044438,1.1655518829867542,0.22,0.011907265580388295
500,50,16,0.06832,0.6162722149140841,1.2973675688613797,1.0,0.06610443774022665
500,50,17,0.01528,1.3542186734582236,1.4011058766748143,0.32,0.016967718507199803
500,50,18,0.02156,0.8828359411240364,0.8401924442577113,0.46,0.008903036698416942
500,50,19,0.07064,0.6858841338004313,1.6615836429370616,1.0,0.07418915407947307
500,50,20,0.0,0.0,0.0,0.0,0.006570483042414594
500,100,1,0.08058,0.4666387077519901,1.7546430662267798,1.0,0.06513366830141967
500,100,2,0.0062,1.3112435452587663,1.0660029736893224,0.27,0.007149917276077873
500,100,3,0.08136,0.6698895584537208,3.6510464389940114,1.0,0.08695494608733287
500,100,4,0.07944,0.46607118856630714,1.7256143707354314,1.0,0.06978231628737652
500,100,5,0.0824,0.4580710882676845,1.7289919645115441,1.0,0.08218654633649478
500,100,6,0.0505,0.6569218820107643,2.1793091132760503,0.68,0.0639037508623569
500,100,7,0.08432,0.4265370457438833,1.534066234936666,1.0,0.07818379713006025
500,100,8,0.07794,0.4187674397966133,1.3668039183319158,1.0,0.06081758531255062
500,100,9,0.0854,0.4995046823896577,2.1307720828073062,1.0,0.10025275326044296
500,100,10,0.07766,0.4813037626444382,1.7990196204925972,1.0,0.06063530436776058
500,100,11,0.06714,0.5158702067641562,1.786743579503361,1.0,0.06955623263941504
500,100,12,0.08452,0.5200802708030687,2.2861264412402713,1.0,0.08707163631129591
500,100,13,0.07724,0.4780648422202917,1.7652892527675763,1.0,0.07237097275888273
500,100,14,0.02038,0.7404365466258935,1.1173259177825703,0.27,0.009025838564489522
500,100,15,0.08096,0.41435183563030803,1.3899815441159062,1.0,0.05454288140093363
500,100,16,0.08774,0.41416851042408936,1.5050529598060995,1.0,0.08737340857775241
500,100,17,0.07202,0.45999386755951316,1.5239025677013691,1.0,0.06760031873177508
500,100,18,0.08074,0.4357363964537036,1.532979756888063,1.0,0.07998801738256947
500,100,19,0.08478,0.4198649241372992,1.494557409227512,1.0,0.0697712267582718
500,100,20,0.07346,0.4483565442130121,1.4767192975660102,1.0,0.07247362704054568
500,150,1,0.08869333333333333,0.3608068007781608,1.731935307777311,1.0,0.07909181995335123
500,150,2,0.07956,0.4047207935341429,1.9547763198594281,1.0,0.07386904051620202
500,150,3,0.08710666666666667,0.32291078700029946,1.362409803534822,1.0,0.07372071726073753
500,150,4,0.07886666666666667,0.4792339024335741,2.7169385262494576,1.0,0.08150125397794376
500,150,5,0.08394666666666667,0.518594912480207,3.3865010834884517,1.0,0.10236150325690568
500,150,6,0.08478666666666666,0.49787976483213536,3.1525920215962677,1.0,0.09466332155282339
500,150,7,0.08714666666666666,0.35769122012116067,1.6724710130174667,1.0,0.06942917624804992
500,150,8,0.08622666666666666,0.33156068219059487,1.4218667735966748,1.0,0.06844254264394362
500,150,9,0.08873333333333333,0.5010252566269427,3.341160156526429,1.0,0.08084842137459054
500,150,10,0.08674666666666667,0.31062459525028163,1.2554971609373093,1.0,0.06087524089435308
500,150,11,0.08465333333333333,0.3677534470390776,1.7173105069802517,1.0,0.07901318658917966
500,150,12,0.08842666666666667,0.41287233186034566,2.2610286918831632,1.0,0.09225997310436172
500,150,13,0.08604,0.30247935622695793,1.1808184787364875,1.0,0.07561086911003646
500,150,14,0.08652,0.41333329996986956,2.217218842060761,1.0,0.08235735589853105
500,150,15,0.08594666666666667,0.319765539156239,1.3182070004109998,1.0,0.06346662178104331
500,150,16,0.08906666666666667,0.2974296987760137,1.1818847275389097,1.0,0.06796490048654805
500,150,17,0.08645333333333333,0.33471488285241635,1.4528575967480954,1.0,0.08751358085134531
500,150,18,0.08756,0.3371408873375388,1.4928626859322345,1.0,0.07702725360596342
500,150,19,0.08861333333333334,0.34103006433213134,1.5458796015141953,1.0,0.08136523432994973
500,150,20,0.08289333333333333,0.3223591371374511,1.292084248922489,1.0,0.07649413417159173
500,200,1,0.08985,0.39007583025001724,2.7342999856139674,1.0,0.08509713380008538
500,200,2,0.08612,0.33640377758804574,1.949197047136538,1.0,0.0681809826489968
500,200,3,0.08872,0.37697768309968216,2.5216384075635467,1.0,0.10755888985112941
500,200,4,0.08776,0.3301836494958208,1.913540846506141,1.0,0.07659885213143479
500,200,5,0.08885,0.3484201991290462,2.157218206813177,1.0,0.0987481894991497
500,200,6,0.08879,0.25806581184259225,1.1826466312510138,1.0,0.08545080022944192
500,200,7,0.08984,0.5795872231955127,6.0358348040694025,1.0,0.09848497596613576
500,200,8,0.08869,0.38036309184488365,2.566264336091286,1.0,0.08704140482650578
500,200,9,0.08858,0.3254443791844566,1.8763732024898718,1.0,0.10093517647337433
500,200,10,0.08949,0.3674932751845751,2.4171482981607446,1.0,0.07918220649595054
500,200,11,0.0882,0.3092449916186872,1.6869566797995073,1.0,0.09569459421790454
500,200,12,0.08961,0.4437148246564153,3.528534359199371,1.0,0.09870404507316677
500,200,13,0.08878,0.23424274179967383,0.9742657199959736,1.0,0.08135777777692772
500,200,14,0.08898,0.29244112100097547,1.521946117454058,1.0,0.09083864442766804
500,200,15,0.08943,0.24610254024730654,1.0832917092151444,1.0,0.07687670351253476
500,200,16,0.09001,0.3003185488634522,1.6236225367076778,1.0,0.08505852704053861
500,200,17,0.08786,0.38762149950885993,2.640200501161667,1.0,0.08507214094910623
500,200,18,0.09026,0.3428168096861655,2.121531785041388,1.0,0.08329284652022095
500,200,19,0.08846,0.2940010062371174,1.529236179797997,1.0,0.0866124991032753
500,200,20,0.08935,0.2827830327788802,1.4289967736255913,1.0,0.08493193895186019
500,250,1,0.090512,0.3144198694030471,2.2370007825444116,1.0,0.08659964971034284
500,250,2,0.087888,0.355700786483569,2.7799644437245092,1.0,0.07299340050612707
500,250,3,0.090016,0.3164912801283265,2.254152100860093,1.0,0.08566106228246503
500,250,4,0.086416,0.35773747284721236,2.7647956531466926,1.0,0.08764061782433014
500,250,5,0.088272,0.34766901783064386,2.667441825830375,1.0,0.10534617401179372
500,250,6,0.089288,0.41277252986067836,3.8032482849401026,1.0,0.08418326093192195
500,250,7,0.089968,0.5184108374688806,6.0447204207454455,1.0,0.10117884979097302
500,250,8,0.089832,0.36646943441376656,3.0161059495426827,1.0,0.09829728564961292
500,250,9,0.089752,0.4500854175630893,4.545420103063778,1.0,0.09587483233463182
500,250,10,0.0906,0.258646330202515,1.5152379814817232,1.0,0.07665119695364087
500,250,11,0.090216,0.3376657287736776,2.5715652285327897,1.0,0.1044419546928145
500,250,12,0.089544,0.44174991331270347,4.36847088262113,1.0,0.12138258656324896
500,250,13,0.08976,0.28151231774430524,1.778351712337334,1.0,0.1052316974050191
500,250,14,0.089208,0.3102086999652196,2.1461089158857574,1.0,0.09727837181579364
500,250,15,0.089936,0.47595378261615107,5.093345559648019,1.0,0.10648409705259591
500,250,16,0.090464,0.2783454865871737,1.7522019631764356,1.0,0.09836240418626087
500,250,17,0.089592,0.28740388278073953,1.8500970151750948,1.0,0.07644030580252109
500,250,18,0.090512,0.3665497426715466,3.0402689770561135,1.0,0.11009888162985886
500,250,19,0.089064,0.3685206192533196,3.0238886107794523,1.0,0.09983032603989565
500,250,20,0.090024,0.3277269755898902,2.4172562667323474,1.0,0.09171825677682548
